Sim Num,Restime ,Current
1,0.203,1.457
2,1.89,0.985
3,1.695,2.13
4,0.8825,1.49
5,1.039,0.683
6,2.637,0.414
7,1.073,0.962
8,1.255,1.019
9,2.407,0.69
10,0.925,0.407
11,1.561,0.906
12,1.241,0.51
13,0.855,0.871
14,1.005,0.632
15,2.812,1.325
16,0.373,0.952
17,2.515,1.17
18,1.271,1.03
19,3.798,1.455
20,3.618,1.016
21,1.493,1.12
22,1.258,1.636
23,0.894,1.554
24,2.184,0.983
25,3.836,1.72
26,0.663,1.634
27,3.835,0.746
28,1.119,0.801
29,3.18,1.322
30,2.231,1.684
31,1.462,1.159
32,2.848,0.913
33,2.354,1.628
34,2.573,1.852
35,3.58,1.049
36,1.101,0.893
37,0.681,1.221
38,1.786,1.517
39,0.586,1.573
40,3.064,0.727
41,0.177,0.609
42,0.313,0.49
43,3.352,0.768
44,1.374,1.261
45,6.318,1.197
46,3.909,0.67
47,3.416,0.844
48,0.267,0.694
49,2.867,1.102
50,0.736,0.616
51,0.73,1.677
52,2.339,0.292
53,2.666,1.04
54,0.139,2.056
55,1.468,1.805
56,2.235,0.623
57,4.721,0.94
58,1.29,1.02
59,1.493,1.09
60,0.523,0.662
61,1.978,0.986
62,1.506,1.145
63,4.465,1.467
64,4.363,0.99
65,3.496,1.21
66,0.815,1.819
67,1.675,1.047
68,1.258,1.413
69,1.329,1.316
70,2.07,0.829
71,5.871,0.874
72,1.391,0.77
73,1.452,1.407
74,1.128,1.167
75,3.413,1.912
