Simulation,Restime,Current
A_10ns_1,2.707,1.311743248
A_10ns_2,0.6065625,3.616470246
A_10ns_3,2.860454545,0.977659799
A_10ns_4,2.120416667,1.533737077
A_10ns_5,3.28125,1.34084714
A_10ns_6,1.3290625,2.369938444
A_10ns_7,0.6628125,3.509512699
A_10ns_8,1.022142857,0.804166724
A_10ns_9,0.10875,1.017809009
A_10ns_10,0.4525,2.613370443
A_10ns_11,2.705555556,1.132502167
A_10ns_12,0.5628125,3.197006013
A_10ns_13,2.389545455,1.258637005
A_10ns_14,1.875625,2.297743286
A_10ns_15,0.92625,3.270412008
A_10ns_16,0.670625,3.338612344
A_10ns_17,0.786428571,1.625974562
A_10ns_18,2.054444444,1.9303809
A_10ns_19,0.8421875,3.080544063
A_10ns_20,0.8840625,3.617910969
A_10ns_21,1.1425,2.584775854
A_10ns_22,1.58,1.523941248
A_10ns_23,0.319285714,0.899183451
A_10ns_24,2.27625,0.834728279
A_10ns_25,0.7490625,3.180917356
A_10ns_26,1.5796875,2.38420512
A_10ns_27,0.83875,3.147171836
A_10ns_28,0.382333333,4.379111787
A_10ns_29,0.644375,3.882044589
A_10ns_30,1.43,1.18371838
A_10ns_31,3.699285714,1.662138447
A_10ns_32,1.875384615,1.798729309
A_10ns_33,1.28,0.900430814
A_10ns_34,0.7025,1.239946134
A_10ns_35,0.359166667,2.043776414
A_10ns_36,2.039,0.523551461
A_10ns_38,1.278333333,2.160990511
A_10ns_39,0.831153846,1.257276167
A_10ns_41,0.994375,2.005133667
A_10ns_42,0.893333333,1.796475273
A_10ns_43,0.35625,1.144080707
A_10ns_44,0.32,1.899718112
A_10ns_45,0.4790625,2.743726366
A_10ns_46,1.097,2.262720368
A_10ns_47,1.5575,2.494662917
A_10ns_48,0.539,2.177968208
A_10ns_49,0.606,1.096483945
A_10ns_50,0.45375,2.528008655
A_10ns_51,0.511875,3.971315915
A_10ns_52,1.301111111,1.498154176
A_10ns_53,1.1803125,2.566844631
A_10ns_54,1.0028125,3.266559027
A_10ns_55,1.2225,2.410940555
A_10ns_56,2.024444444,1.739818257
A_10ns_57,1.5740625,1.894254466
A_10ns_58,1.4328125,2.459034509
A_10ns_59,1.825625,1.338780208
A_10ns_60,0.5609375,3.620243084
A_10ns_61,0.185,1.325042167
A_10ns_62,1.0915625,2.89770694
A_10ns_63,0.06,1.789678567
A_10ns_64,0.7059375,3.3586783
A_10ns_65,3.9125,1.26068057
A_10ns_66,3.334090909,1.253592202
A_10ns_67,1.5078125,2.376949505
A_10ns_68,0.6578125,3.326590789
A_10ns_69,2.111923077,2.262157277
A_10ns_70,1.6290625,1.573509877
A_10ns_71,1.467333333,2.458655686
A_10ns_72,2.455555556,1.102587156
A_10ns_73,0.78875,3.191635461
A_10ns_74,0.674375,1.710518509
A_10ns_75,1.3265625,2.896047227
A_10ns_76,2.874375,1.331866822
A_10ns_77,0.6628125,3.421746601
A_10ns_78,0.6425,3.793353813
A_10ns_79,1.8646875,1.986157635
A_10ns_80,0.86375,3.212450583
A_10ns_81,0.5221875,3.702626858
A_10ns_82,0.7840625,3.233469462
A_10ns_83,1.27875,2.594680004
A_10ns_84,2.693,1.302914293
A_10ns_85,0.87,2.976738851
A_10ns_86,0.5971875,3.878901351
A_10ns_87,0.944375,3.22567061
A_10ns_88,2.351666667,1.666904641
A_10ns_89,0.4884375,3.910487184
A_10ns_90,2.632,1.50749343
A_10ns_91,0.705,3.762453787
A_10ns_92,1.4228125,2.194056664
A_10ns_93,2.818636364,1.128837071
A_10ns_94,1.28875,2.044753565
A_10ns_95,1.0478125,2.490911811
A_10ns_96,1.649,1.833732233
A_10ns_97,0.80625,3.228808064
A_10ns_98,3.60125,1.48341286
A_10ns_99,1.0784375,3.38125637
