Sim Num,Restime,Current
1,1.513,1.018
2,2.166,1.554
3,1.406,2.069
4,0.847,1.488
5,2.398,1.479
6,1.141,0.946
7,2.238,0.822
8,1.547,1.278
9,1.178,1.657
10,0.274,0.854
11,1.809,0.744
12,4.011,1.565
13,1.958,1.014
14,1.551,1.407
15,1.509,1.409
16,2.614,1.461
17,2.631,1.335
18,1.695,1.358
19,1.887,0.807
20,0.673,0.133
21,1.66,1.543
22,1.316,1.486
23,0.567,1.711
24,1.93,1.155
25,2.121,1.474
26,0.562,1.521
27,3.612,1.61
28,2.09,0.816
29,2.753,1.715
30,1.552,1.316
31,2.069,0.859
32,1.471,1.449
33,0.513,1.69
34,1.261,1.171
35,2.09,1.966
36,2.989,1.484
37,1.219,1.049
38,2.887,2.059
39,1.743,1.619
40,0.922,1.046
41,2.343,1.539
42,1.665,0.722
43,2.845,1.9
44,1.882,0.841
45,1.563,1.021
46,1.425,1.314
47,0.925,1.234
48,1.336,2.47
49,0.969,0.799
50,0.62,1.806
51,0.75,1.223
52,0.711,1.21
53,0.962,1.779
54,1.423,1.512
55,1.492,1.483
56,1.673,1.462
57,1.31,0.63
58,1.19,1.179
59,0.399,2.596
60,1.254,1.796
61,2.486,1.37
62,2.716,0.835
63,2.675,0.877
64,3.036,1.033
65,0.498,0.901
66,1.187,1.115
67,1.414,2.039
68,3.02,2.217
69,2.491,1.339
70,3.082,0.954
71,0.237,2.139
72,2.499,1.605
73,0.636,1.576
74,1.206,0.91
75,0.943,0.496
