Simulation,Restime,Current
g_mos1207,1.023666667,2.749768603
g_mos68,0.7003125,3.062702473
g_mos1198,0.700666667,3.234029298
g_mos1010,0.270625,4.052742597
g_mos1217,0.575625,3.768774133
g_mos75,2.031,1.302346487
g_mos1204,0.349666667,4.178930252
g_mos1229,0.492666667,3.692113471
g_mos1188,0.5703125,3.784884124
g_mos48,0.36125,3.725287449
g_mos1224,0.6109375,3.631477651
g_mos1231,0.373333333,3.89733626
g_mos1184,0.425,3.700477073
g_mos74,0.45,3.815581862
g_mos1219,0.5240625,3.680445763
g_mos1206,0.762,1.486072137
g_mos1038,2.48,1.410287575
g_mos73,0.353125,3.344956881
g_mos69,1.991333333,1.983853298
g_mos1199,1.284,2.167307912
g_mos1212,0.5690625,3.178908541
g_mos1209,1.249666667,2.577986274
g_mos1216,0.557666667,2.951460448
g_mos1205,0.386,3.509836457
g_mos1237,0.990666667,3.003220825
g_mos1203,0.5965625,3.677392876
g_mos2,0.5525,2.482223495
g_mos1182,0.7346875,3.189998368
g_mos72,0.7184375,3.231301611
g_mos1215,0.399666667,3.761161822
g_mos1236,0.526875,3.420044184
g_mos1214,1.430625,2.235308822
g_mos1202,0.395333333,3.943936585
g_mos1196,1.123333333,2.677957121
g_mos1190,0.646875,3.534066023
g_mos1210,0.423125,4.207857801
g_mos1235,0.571666667,2.990019963
g_mos1232,0.269,4.449773254
g_mos1201,1.8125,1.236502289
g_mos62,0.526333333,3.820499168
g_mos1194,0.360666667,3.765556899
g_mos1200,0.775666667,2.728019862
g_mos1001,1.3478125,2.306370376
g_mos1187,0.408666667,3.56844921
g_mos67,1.6234375,2.152522184
g_mos1186,0.538666667,3.408768863
g_mos1185,0.419333333,4.52727394
g_mos1240,0.538,3.700981067
g_mos1197,0.813333333,2.666619405
g_mos1218,0.733666667,3.524294322
g_mos1234,1.07,2.517779947
g_mos1008,0.9,3.895828522
g_mos1227,0.545,3.372709609
g_mos1223,0.571333333,3.239927
g_mos1225,0.502,3.846615123
g_mos1193,0.684,3.695136405
g_mos1191,0.3925,3.792026589
g_mos1221,0.5940625,3.097111257
g_mos1195,1.080666667,2.731099407
g_mos1189,0.583,3.626105804
g_mos65,1.028125,3.220168127
g_mos1213,1.000333333,2.57074376
g_mos66,0.492666667,3.884027716
g_mos1181,0.670333333,3.353449651
g_mos1238,0.437333333,3.578684206
g_mos27,0.3821875,4.095001311
g_mos1230,0.644,3.723952144
g_mos1228,0.522666667,3.767331233
g_mos1208,0.517666667,3.778600321
g_mos1192,0.366666667,4.275274891
g_mos1020,0.7240625,3.55229897
g_mos64,0.665,3.258214432
g_mos1222,0.404333333,4.121708913
g_mos1211,0.467,3.889395559
g_mos71,1.314375,2.455408189
g_mos63,0.618125,3.681902286
g_mos70,0.597666667,3.821732584
g_mos1183,1.259,2.609184306
g_mos1226,0.549,4.023385573
g_mos1220,0.404333333,3.703129541
g_mos1233,0.561,3.446677352
g_mos1239,0.933,2.874873284
