Simulation,Restime,Current
t_mos1232,4.6675,1.226759407
t_mos1240,1.901333333,1.56128447
t_mos102,1.10625,2.598983611
t_mos16,0.5375,0.328385722
t_mos1009,1.201875,2.726948403
t_mos1201,1.906,1.702646861
t_mos35,1.320625,1.939840344
t_mos1235,0.635,4.038028907
t_mos47,2.855909091,0.892340728
t_mos1214,1.4590625,2.608113172
t_mos1011,1.2225,2.228705606
t_mos1208,1.379666667,2.458957197
t_mos1236,2.775,0.976196734
t_mos1233,1.694666667,1.749695974
t_mos1231,1.9225,2.09279183
t_mos19,0.44125,1.703048111
t_mos1234,1.446875,1.986329697
t_mos1218,0.801666667,1.266430197
t_mos44,0.765,1.476631713
t_mos1226,1.727333333,2.206379647
t_mos48,0.7521875,3.420782846
t_mos1203,2.359,1.429458508
t_mos11,0.625,0.604376047
t_mos1228,0.640625,3.13920521
t_mos1248,1.266666667,0.887327706
t_mos1219,2.897222222,1.525398183
t_mos1211,1.738,2.186059487
t_mos8,0.665833333,0.893077819
t_mos1246,0.815333333,3.409573142
t_mos109,3.086428571,0.99092777
t_mos1220,1.054583333,1.615622495
t_mos1238,0.442333333,3.7614527
t_mos1006,1.256875,1.85703381
t_mos1224,1.371875,2.491078529
t_mos1242,1.488,2.410934317
t_mos1204,5.170714286,1.016704429
t_mos28,1.32625,2.430820578
t_mos1237,0.831666667,2.719259595
t_mos1213,1.005666667,3.122449553
t_mos1243,1.207666667,2.455957613
t_mos1010,1.845909091,2.125175882
t_mos29,1.5725,1.906790655
t_mos13,0.5055,0.739091048
t_mos1212,1.337666667,2.577514905
t_mos1222,1.6409375,2.328835134
t_mos104,1.0278125,3.06451771
t_mos1207,1.955,1.292956547
t_mos1205,0.977666667,3.005295746
t_mos1209,2.739230769,1.083811053
t_mos1206,0.941666667,3.299168633
t_mos6,0.72375,2.263398956
t_mos1249,1.169545455,1.893126468
t_mos30,2.956666667,1.986400119
t_mos1239,1.5584375,2.332344132
t_mos1241,0.803666667,3.076074268
t_mos20,0.451875,2.128804484
t_mos1223,1.548666667,2.650770528
t_mos1244,1.470333333,2.24832076
t_mos1215,1.199333333,2.857132886
t_mos1210,1.268888889,1.046483035
t_mos1221,0.6075,3.501273472
t_mos10,0.451363636,1.12560718
t_mos15,0.48625,1.537985476
t_mos1247,1.530625,2.473819654
t_mos1230,1.969666667,1.729930569
t_mos1251,1.44875,2.237945544
t_mos17,0.215,2.055486904
t_mos1,0.4275,0.322619571
t_mos1217,2.325333333,1.110844473
t_mos12,0.5525,2.715488727
t_mos1225,1.6175,1.332885585
t_mos1229,1.230625,1.510349995
t_mos1003,1.2296875,2.488688501
t_mos1245,1.0896875,2.678004231
t_mos1216,0.6275,3.346015708
t_mos1202,1.531666667,2.443704328
t_mos1250,0.881666667,3.571602103
t_mos1227,0.658571429,2.302789764
t_mos9,0.2325,1.891038799
