Simulation,Restime,Current
t_gra1,3.93625,3.597165994
t_gra2,5.83875,2.185011414
t_gra3,0.890625,4.242319967
t_gra4,3.59625,1.894592123
t_gra5,3.315,2.938926124
t_gra6,1.6075,3.580492751
t_gra7,2.67125,2.532158474
t_gra8,0.541428571,3.898977232
t_gra9,3.522142857,2.561651499
t_gra10,2.778125,3.523584493
t_gra11,0.988125,4.333132224
t_gra12,3.619285714,3.152786739
t_gra14,1.701666667,2.506472726
t_gra15,0.894285714,4.367004653
t_gra16,1.68125,3.025532958
t_gra17,2.312142857,4.434773854
t_gra18,0.9365625,4.53791227
t_gra19,1.800416667,2.78552648
t_gra20,5.565714286,1.935328911
t_gra21,0.5325,5.459482247
t_gra22,4.52875,3.39319335
t_gra23,2.31375,3.203649229
t_gra25,1.48,3.640550606
t_gra26,2.105,2.066078552
t_gra27,0.025,0.991049339
t_gra28,1.606785714,2.668054375
t_gra29,0.7940625,5.040210917
t_gra30,3.771,3.802789739
t_gra31,1.05,3.963026592
t_gra32,5.643,1.92093417
t_gra33,1.223125,2.564291716
t_gra35,1.7509375,2.834224361
t_gra36,1.84875,2.369378761
t_gra37,1.475,2.933913467
t_gra39,1.75,4.079837305
t_gra40,0.90625,4.183058919
t_gra41,1.7625,3.524961135
t_gra42,0.773333333,1.876454764
t_gra43,2.04,3.052271741
t_gra44,5.509166667,2.077981958
t_gra45,1.041875,3.536906579
t_gra46,2.4945,2.67546189
t_gra47,1.740625,3.127626254
t_gra48,0.715,1.659332824
t_gra49,3.451666667,1.936145168
t_gra50,0.12875,5.262797961
t_gra52,1.74625,2.633383432
t_gra54,1.2853125,3.382369386
t_gra55,1.045,2.166084222
t_gra56,1.763928571,2.853126896
t_gra57,0.741,3.224915948
t_gra58,0.02,1.848963278
t_gra59,5.139285714,1.725206661
t_gra62,0.065,3.467152509
t_gra64,0.525,1.622829618
t_gra65,0.075,5.818071419
t_gra70,0.8825,4.596063803
t_gra74,0.4225,4.208267312
t_gra75,1.3075,3.125855507
t_gra76,1.635833333,3.507942285
t_gra78,2.039230769,2.313926521
t_gra79,4.676666667,2.971135388
t_gra80,3.068125,2.251967528
t_gra81,1.848,3.805255998
t_gra82,1.190625,4.206505288
t_gra83,0.99,3.056475747
t_gra85,1.175,2.516801058
t_gra87,0.06,4.251641355
t_gra88,0.996875,4.376496448
t_gra89,1.273,3.194734863
t_gra90,2.12625,2.967111231
t_gra91,2.24875,1.617870284
t_gra92,0.8975,3.425933838
t_gra93,3.82,2.164303722
t_gra94,1.9195,3.035822222
t_gra95,2.456363636,2.185476231
t_gra96,3.099166667,3.039927075
t_gra97,1.2421875,3.117155474
t_gra99,3.549375,2.380792609
