Simulation,Restime,Current
C_10ns_1,0.9134375,3.096030478
C_10ns_2,0.5409375,3.950114231
C_10ns_3,0.409375,4.178886882
C_10ns_4,1.0240625,2.926892168
C_10ns_5,0.4153125,3.984588048
C_10ns_6,0.7378125,3.265647581
C_10ns_8,1.030625,2.859149595
C_10ns_9,1.0946875,2.970520893
C_10ns_10,0.41625,4.422929936
C_10ns_12,0.4421875,4.011177566
C_10ns_13,0.5771875,4.027457346
C_10ns_14,1.2728125,3.020718834
C_10ns_15,0.53125,3.823281443
C_10ns_16,1.2490625,3.002884778
C_10ns_17,0.6725,3.990702537
C_10ns_18,0.9709375,2.871439169
C_10ns_19,0.4128125,4.402138188
C_10ns_20,1.17,2.925759926
C_10ns_21,0.49875,4.454824131
C_10ns_22,0.3625,3.437604451
C_10ns_23,0.4915625,4.081319314
C_10ns_24,0.591875,4.177162191
C_10ns_25,0.4496875,3.532714427
C_10ns_26,0.4775,3.903010786
C_10ns_27,0.44875,4.362268511
C_10ns_28,0.9278125,2.910036229
C_10ns_29,0.47125,3.618918054
C_10ns_30,1.6634375,2.200736231
C_10ns_31,0.955,3.253458243
C_10ns_32,1.676666667,1.288895521
C_10ns_33,0.70125,3.972752049
C_10ns_34,0.4703125,4.030908404
C_10ns_35,0.405625,4.373473755
C_10ns_36,0.55375,4.354244113
C_10ns_38,0.375625,4.003611973
C_10ns_39,0.3915625,4.224946607
C_10ns_40,0.36625,4.312333131
C_10ns_41,0.685,3.454837317
C_10ns_42,1.3309375,3.123054754
C_10ns_43,0.711875,3.538412947
C_10ns_44,0.38625,3.782570713
C_10ns_45,0.246875,4.19441599
C_10ns_46,0.3209375,4.136370527
C_10ns_47,1.3575,2.400429416
C_10ns_48,1.1,3.087763927
C_10ns_49,1.0965625,3.771148997
C_10ns_50,0.5653125,3.222793244
C_10ns_51,0.31,2.97318578
C_10ns_52,0.8375,3.102456709
C_10ns_53,0.831875,3.407791184
C_10ns_54,0.830625,3.654751586
C_10ns_55,0.3471875,4.200921403
C_10ns_56,1.0778125,2.668796645
C_10ns_57,0.37625,4.914159504
C_10ns_58,0.6684375,4.002378881
C_10ns_59,0.6321875,3.610033442
C_10ns_60,0.435625,4.339706854
C_10ns_61,0.7671875,3.769664681
C_10ns_62,0.8228125,3.469089591
C_10ns_64,2.362727273,2.345521492
C_10ns_65,0.430625,4.131983111
C_10ns_67,1.079375,3.132364731
C_10ns_69,1.2553125,2.930179713
C_10ns_70,0.5184375,3.68063938
C_10ns_71,1.165625,2.704652327
C_10ns_72,0.6290625,3.391621772
C_10ns_73,0.63875,3.568126675
C_10ns_74,0.4975,3.973320619
C_10ns_75,0.8746875,3.2882956
C_10ns_76,0.6934375,3.423675605
C_10ns_77,0.311875,3.938994837
C_10ns_78,0.3803125,4.779743925
C_10ns_79,0.3928125,4.00218679
C_10ns_80,3.328636364,1.799119032
C_10ns_81,0.3040625,4.24678536
C_10ns_82,1.3946875,2.613369812
C_10ns_83,0.3015625,4.066799156
C_10ns_84,0.544375,4.067338344
C_10ns_85,0.4734375,3.318340036
C_10ns_86,0.4140625,3.483563642
C_10ns_87,1.035625,2.942926284
C_10ns_88,1.1375,2.180188364
C_10ns_89,0.9840625,3.001224018
C_10ns_91,0.8521875,3.035161411
C_10ns_92,0.3934375,3.612071281
C_10ns_93,0.58125,2.551821968
C_10ns_94,0.7928125,3.744855085
C_10ns_95,0.5496875,4.349117384
C_10ns_96,1.46625,2.406562886
C_10ns_97,0.39125,3.693514689
C_10ns_98,2.10625,1.9141749
C_10ns_99,0.6253125,3.433853131
C_10ns_100,0.64125,4.213763034
